"id","participant_id","realAge","correctGuess","predicted_age","finalComments"
"532","7333809821","16","0","15",
"533","2512163601","14","0","17",
"534","7323563734","15","0","19",
"535","6235854944","21","0","15",
"537","9518439914","22","0","19",
"538","9518439914","0","0","0","I'm flattered to have 18-year-old vision :)"
"539","797648220","18","0","14",
"540","9520262316","21","0","17",
"541","7589582189","37","0","14",
"10716","7711162187","62","0","18",
"543","5835914104","17","0","16",
"544","2600845119","14","0","20",
"545","1482338723","13","0","17",
"546","2592544096","50","0","16",
"11673","220","24","0","15",
"548","8897075837","20","0","15",
"549","409383715","0","0","0","I am 26, but I work in the paint industry and I match colors all day"
"550","8692224643","25","0","22",
"10714","5520543209","47","0","17",
"553","9226352025","17","0","17",
"554","3760848806","16","0","18",
"555","8951311984","21","0","16",
"557","9567251201","22","0","16",
"558","9567251201","0","0","0","Firstly, I wear glasses but i doubt that affects anything but, should i be proud that you think I'm 16?"
"559","2159179986","19","0","19",
"560","7229606311","25","0","20",
"561","4960666326","28","0","15",
"562","3037453340","34","0","22",
"563","5876620563","18","0","17",
"564","1352855900","16","0","14",
"568","1765531881","25","0","17",
"567","1266251688","15","0","16",
"569","1792980308","24","0","15",
"570","3901856318","21","0","15",
"571","8690592912","61","0","16",
"572","7491545367","15","0","15",
"573","9995031403","43","0","15",
"574","4031795008","21","0","17",
"10713","7073003763","12","0","13",
"576","9031789526","25","0","16",
"577","4033040865","16","0","15",
"578","776125705","21","0","18",
"580","9533439069","19","0","15",
"581","5753053917","36","0","19",
"582","8025248389","21","0","20",
"583","6225849767","16","0","15",
"584","4212304523","20","0","20",
"585","78704878","18","0","18",
"10712","3379368600","48","0","13",
"10711","448057467","15","0","20",
"589","4705285120","18","0","17",
"590","2287097382","22","0","14",
"591","2646804628","20","0","16",
"592","8417625185","14","0","19",
"593","9484791436","18","0","16",
"594","257678971","15","0","17",
"595","2013830179","28","0","15",
"596","9090775097","20","0","15",
"597","9090775097","0","0","0","Result was 5 years younger (I'm 20). It is possible to have an advantage (ie getting a younger result) in this test by simply distinguishing which areas have less hue than others as the tests get more difficult. You may want to think about a way to remove this advantage from those that can think of it."
"598","9572678988","29","0","65",
"600","115059362","17","0","15",
"601","7147078465","15","0","14",
"602","2625850543","16","0","20",
"10710","3358412235","55","0","17",
"604","3762061966","17","0","16",
"605","6501486814","20","0","19",
"607","4897918300","22","0","15",
"608","6359863656","46","0","16",
"609","7162573498","20","0","13",
"610","3454672556","36","0","16",
"10709","5338978280","15","0","21",
"612","8283137106","24","0","16",
