starting_time,end_time,total_time,algorithm
1529534536.1076462,1529534536.2158947,0.10824847221374512,qs1
1529534536.215899,1529534536.405422,0.18952298164367676,qs2
1529534536.4054284,1529534536.6003778,0.19494938850402832,qs3
1529534536.6003833,1529534536.7571766,0.15679335594177246,qs4
1529534536.757181,1529534536.9074633,0.1502823829650879,qs5
1529534536.9074678,1529534537.1005292,0.19306135177612305,merge1
1529534537.1005354,1529534537.2348483,0.13431286811828613,partition_sort
1529534537.2348545,1529534537.3464813,0.11162686347961426,qs1
1529534537.34649,1529534537.5593684,0.21287846565246582,qs2
1529534537.5593736,1529534537.7628305,0.20345687866210938,qs3
1529534537.762836,1529534537.9215884,0.15875244140625,qs4
1529534537.9215932,1529534538.0811813,0.15958809852600098,qs5
1529534538.0811863,1529534538.2791595,0.19797325134277344,merge1
1529534538.2791657,1529534538.4147022,0.13553643226623535,partition_sort
1529534538.4147084,1529534538.5229888,0.10828042030334473,qs1
1529534538.5229938,1529534538.7096262,0.18663239479064941,qs2
1529534538.7096312,1529534538.8853872,0.17575597763061523,qs3
1529534538.8853922,1529534539.0352354,0.1498432159423828,qs4
1529534539.0352397,1529534539.1906817,0.1554419994354248,qs5
1529534539.1906857,1529534539.3864958,0.19581007957458496,merge1
1529534539.3865027,1529534539.5236547,0.13715195655822754,partition_sort
1529534539.5236616,1529534539.6379406,0.11427903175354004,qs1
1529534539.637946,1529534539.8203166,0.18237066268920898,qs2
1529534539.8203216,1529534539.9975727,0.17725110054016113,qs3
1529534539.9975774,1529534540.15081,0.15323257446289062,qs4
1529534540.1508148,1529534540.310969,0.1601543426513672,qs5
1529534540.3109736,1529534540.5042453,0.19327163696289062,merge1
1529534540.504253,1529534540.641575,0.13732218742370605,partition_sort
1529534540.6415818,1529534540.751804,0.11022233963012695,qs1
1529534540.7518094,1529534540.9321826,0.1803731918334961,qs2
1529534540.9321866,1529534541.1141338,0.1819472312927246,qs3
1529534541.1141381,1529534541.2679744,0.15383625030517578,qs4
1529534541.267978,1529534541.422797,0.15481901168823242,qs5
1529534541.4228015,1529534541.6204057,0.19760417938232422,merge1
1529534541.6204138,1529534541.7579691,0.13755536079406738,partition_sort
1529534541.757976,1529534541.8693528,0.11137676239013672,qs1
1529534541.8693583,1529534542.0532446,0.18388628959655762,qs2
1529534542.0532496,1529534542.2290366,0.17578697204589844,qs3
1529534542.229041,1529534542.3864007,0.15735960006713867,qs4
1529534542.3864055,1529534542.544339,0.15793347358703613,qs5
1529534542.5443435,1529534542.7388732,0.19452977180480957,merge1
1529534542.7388785,1529534542.876039,0.1371605396270752,partition_sort
1529534542.8760455,1529534542.9864936,0.11044812202453613,qs1
1529534542.9864988,1529534543.2110376,0.22453880310058594,qs2
1529534543.2110438,1529534543.3939517,0.1829078197479248,qs3
1529534543.3939567,1529534543.54404,0.15008330345153809,qs4
1529534543.544045,1529534543.6989112,0.15486621856689453,qs5
1529534543.698916,1529534543.8963141,0.19739818572998047,merge1
1529534543.896321,1529534544.0332468,0.13692569732666016,partition_sort
1529534544.0332537,1529534544.1425765,0.10932278633117676,qs1
1529534544.142582,1529534544.324497,0.1819150447845459,qs2
1529534544.3245018,1529534544.5028472,0.1783454418182373,qs3
1529534544.5028522,1529534544.671199,0.16834688186645508,qs4
1529534544.6712036,1529534544.823483,0.15227937698364258,qs5
1529534544.823488,1529534545.0182073,0.1947193145751953,merge1
1529534545.0182185,1529534545.1597924,0.14157390594482422,partition_sort
1529534545.1597993,1529534545.2705276,0.11072826385498047,qs1
1529534545.270533,1529534545.4582133,0.18768024444580078,qs2
1529534545.4582183,1529534545.6338987,0.17568039894104004,qs3
1529534545.6339035,1529534545.7917156,0.15781211853027344,qs4
1529534545.7917204,1529534545.9480433,0.15632295608520508,qs5
1529534545.9480584,1529534546.143328,0.19526958465576172,merge1
1529534546.1433358,1529534546.2791648,0.13582897186279297,partition_sort
1529534546.2791715,1529534546.3896484,0.11047697067260742,qs1
1529534546.3896534,1529534546.5748367,0.18518328666687012,qs2
1529534546.5748413,1529534546.752162,0.1773207187652588,qs3
1529534546.752167,1529534546.9143481,0.16218113899230957,qs4
1529534546.914353,1529534547.0685935,0.15424060821533203,qs5
1529534547.068598,1529534547.2635815,0.19498348236083984,merge1
1529534547.2635882,1529534547.399243,0.13565492630004883,partition_sort
1529534547.3992496,1529534547.5090914,0.10984182357788086,qs1
1529534547.5090964,1529534547.6888018,0.17970538139343262,qs2
1529534547.6888068,1529534547.862897,0.17409014701843262,qs3
1529534547.862902,1529534548.012463,0.14956116676330566,qs4
1529534548.0124676,1529534548.164211,0.15174341201782227,qs5
1529534548.1642272,1529534548.357531,0.19330382347106934,merge1
1529534548.3575375,1529534548.49372,0.13618254661560059,partition_sort
1529534548.4937267,1529534548.603294,0.10956716537475586,qs1
1529534548.6032996,1529534548.7843118,0.18101215362548828,qs2
1529534548.784317,1529534548.9651859,0.18086886405944824,qs3
1529534548.9651906,1529534549.1331882,0.1679975986480713,qs4
1529534549.1331925,1529534549.2836642,0.15047168731689453,qs5
1529534549.2836692,1529534549.4768271,0.19315791130065918,merge1
1529534549.4768336,1529534549.6126904,0.13585686683654785,partition_sort
1529534549.6126976,1529534549.7223716,0.10967397689819336,qs1
1529534549.7223773,1529534549.9152594,0.19288206100463867,qs2
1529534549.915273,1529534550.1549087,0.23963570594787598,qs3
1529534550.1549175,1529534550.317625,0.16270756721496582,qs4
1529534550.3176303,1529534550.4749072,0.15727686882019043,qs5
1529534550.4749117,1529534550.6745298,0.19961810111999512,merge1
